position,"number of passes made by
defenders",,position,"number of passes made by
forward players",,,,"average number of passes made by
defenders","average number of passes made by
forward players"
defender,146,,forward,19,,,,102.643617,50.82517483
defender,89,,forward,8,,,,,
defender,94,,forward,3,,,,,
defender,79,,forward,57,,,,,
defender,167,,forward,93,,,,,
defender,218,,forward,321,,,,,
defender,188,,forward,33,,,,,
defender,141,,forward,8,,,,,
defender,72,,forward,164,,,,,
defender,43,,forward,49,,,,,
defender,33,,forward,29,,,,,
defender,56,,forward,12,,,,,
defender,91,,forward,89,,,,,
defender,135,,forward,4,,,,,
defender,215,,forward,18,,,,,
defender,6,,forward,181,,,,,
defender,223,,forward,16,,,,,
defender,223,,forward,38,,,,,
defender,249,,forward,89,,,,,
defender,224,,forward,23,,,,,
defender,116,,forward,39,,,,,
defender,71,,forward,7,,,,,
defender,12,,forward,11,,,,,
defender,93,,forward,39,,,,,
defender,37,,forward,113,,,,,
defender,135,,forward,91,,,,,
defender,152,,forward,70,,,,,
defender,3,,forward,5,,,,,
defender,17,,forward,51,,,,,
defender,27,,forward,7,,,,,
defender,123,,forward,17,,,,,
defender,187,,forward,53,,,,,
defender,123,,forward,121,,,,,
defender,113,,forward,37,,,,,
defender,178,,forward,7,,,,,
defender,120,,forward,19,,,,,
defender,95,,forward,35,,,,,
defender,41,,forward,21,,,,,
defender,32,,forward,54,,,,,
defender,142,,forward,18,,,,,
defender,74,,forward,5,,,,,
defender,173,,forward,83,,,,,
defender,17,,forward,165,,,,,
defender,223,,forward,217,,,,,
defender,93,,forward,9,,,,,
defender,91,,forward,4,,,,,
defender,46,,forward,151,,,,,
defender,92,,forward,22,,,,,
defender,96,,forward,48,,,,,
defender,125,,forward,12,,,,,
defender,34,,forward,26,,,,,
defender,84,,forward,7,,,,,
defender,125,,forward,28,,,,,
defender,244,,forward,43,,,,,
defender,44,,forward,19,,,,,
defender,360,,forward,9,,,,,
defender,282,,forward,35,,,,,
defender,51,,forward,43,,,,,
defender,62,,forward,16,,,,,
defender,108,,forward,55,,,,,
defender,105,,forward,32,,,,,
defender,248,,forward,48,,,,,
defender,167,,forward,6,,,,,
defender,56,,forward,100,,,,,
defender,70,,forward,22,,,,,
defender,40,,forward,66,,,,,
defender,4,,forward,2,,,,,
defender,18,,forward,35,,,,,
defender,39,,forward,60,,,,,
defender,6,,forward,50,,,,,
defender,74,,forward,15,,,,,
defender,89,,forward,68,,,,,
defender,34,,forward,9,,,,,
defender,62,,forward,4,,,,,
defender,94,,forward,8,,,,,
defender,51,,forward,60,,,,,
defender,38,,forward,71,,,,,
defender,51,,forward,37,,,,,
defender,138,,forward,25,,,,,
defender,155,,forward,38,,,,,
defender,114,,forward,12,,,,,
defender,21,,forward,248,,,,,
defender,128,,forward,81,,,,,
defender,50,,forward,108,,,,,
defender,60,,forward,60,,,,,
defender,126,,forward,60,,,,,
defender,88,,forward,59,,,,,
defender,82,,forward,16,,,,,
defender,115,,forward,18,,,,,
defender,0,,forward,16,,,,,
defender,129,,forward,62,,,,,
defender,68,,forward,28,,,,,
defender,106,,forward,25,,,,,
defender,31,,forward,43,,,,,
defender,128,,forward,13,,,,,
defender,74,,forward,107,,,,,
defender,244,,forward,58,,,,,
defender,202,,forward,18,,,,,
defender,212,,forward,89,,,,,
defender,174,,forward,25,,,,,
defender,81,,forward,53,,,,,
defender,259,,forward,134,,,,,
defender,265,,forward,57,,,,,
defender,30,,forward,42,,,,,
defender,189,,forward,62,,,,,
defender,271,,forward,27,,,,,
defender,47,,forward,91,,,,,
defender,92,,forward,14,,,,,
defender,90,,forward,24,,,,,
defender,79,,forward,65,,,,,
defender,88,,forward,11,,,,,
defender,38,,forward,1,,,,,
defender,22,,forward,55,,,,,
defender,107,,forward,27,,,,,
defender,61,,forward,118,,,,,
defender,36,,forward,22,,,,,
defender,52,,forward,36,,,,,
defender,74,,forward,4,,,,,
defender,6,,forward,68,,,,,
defender,56,,forward,4,,,,,
defender,75,,forward,60,,,,,
defender,59,,forward,5,,,,,
defender,172,,forward,32,,,,,
defender,44,,forward,14,,,,,
defender,71,,forward,0,,,,,
defender,235,,forward,96,,,,,
defender,202,,forward,12,,,,,
defender,29,,forward,50,,,,,
defender,26,,forward,169,,,,,
defender,166,,forward,5,,,,,
defender,173,,forward,47,,,,,
defender,18,,forward,11,,,,,
defender,37,,forward,65,,,,,
defender,152,,forward,15,,,,,
defender,52,,forward,151,,,,,
defender,44,,forward,5,,,,,
defender,115,,forward,202,,,,,
defender,46,,forward,127,,,,,
defender,98,,forward,12,,,,,
defender,42,,forward,165,,,,,
defender,49,,forward,40,,,,,
defender,158,,forward,18,,,,,
defender,35,,forward,84,,,,,
defender,159,,,,,,,,
defender,93,,,,,,,,
defender,0,,,,,,,,
defender,40,,,,,,,,
defender,202,,,,,,,,
defender,94,,,,,,,,
defender,95,,,,,,,,
defender,89,,,,,,,,
defender,109,,,,,,,,
defender,102,,,,,,,,
defender,74,,,,,,,,
defender,107,,,,,,,,
defender,83,,,,,,,,
defender,21,,,,,,,,
defender,95,,,,,,,,
defender,19,,,,,,,,
defender,105,,,,,,,,
defender,111,,,,,,,,
defender,0,,,,,,,,
defender,164,,,,,,,,
defender,160,,,,,,,,
defender,34,,,,,,,,
defender,12,,,,,,,,
defender,310,,,,,,,,
defender,1,,,,,,,,
defender,402,,,,,,,,
defender,254,,,,,,,,
defender,299,,,,,,,,
defender,0,,,,,,,,
defender,82,,,,,,,,
defender,80,,,,,,,,
defender,9,,,,,,,,
defender,71,,,,,,,,
defender,79,,,,,,,,
defender,32,,,,,,,,
defender,115,,,,,,,,
defender,120,,,,,,,,
defender,67,,,,,,,,
defender,22,,,,,,,,
defender,141,,,,,,,,
defender,130,,,,,,,,
defender,72,,,,,,,,
defender,180,,,,,,,,
defender,129,,,,,,,,
defender,69,,,,,,,,
